,Location name,Address,Day,Times,What to do,Date added,gcode,lat,long
0,Countdown Johnsonville Road Wellington,"31 Johnsonville Road, Johnsonville, Wellington 6037",Wednesday 18 August,4.30 pm - 5.00 pm,"Stay at home, test immediately and on or around day 5 after last exposure and continue to stay at home until you receive a negative day 5 test result. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': '31', 'short_name': '31', 'types': ['street_number']}, {'long_name': 'Johnsonville Road', 'short_name': 'Johnsonville Rd', 'types': ['route']}, {'long_name': 'Johnsonville', 'short_name': 'Johnsonville', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Wellington', 'short_name': 'Wellington', 'types': ['locality', 'political']}, {'long_name': 'Wellington', 'short_name': 'Wellington', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '6037', 'short_name': '6037', 'types': ['postal_code']}], 'formatted_address': '31 Johnsonville Road, Johnsonville, Wellington 6037, New Zealand', 'geometry': {'location': {'lat': -41.22279520000001, 'lng': 174.8077314}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -41.22144621970851, 'lng': 174.8090803802915}, 'southwest': {'lat': -41.22414418029151, 'lng': 174.8063824197085}}}, 'place_id': 'ChIJh1QcSbatOG0RQS6hgNsr3eU', 'plus_code': {'compound_code': 'QRG5+V3 Wellington, New Zealand', 'global_code': '4VCPQRG5+V3'}, 'types': ['street_address']}]",-41.22279520000001,174.8077314
1,Johnsonville Medical Centre Pharmacy Wellington,"2 Trafalgar Street, Johnsonville, Wellington 6037",Wednesday 18 August,4.15 pm - 4.45 pm,"Staff: Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next. Customers - Stay at home, test immediately and on or around day 5 after last exposure and continue to stay at home until you receive a negative day 5 test result. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': '2', 'short_name': '2', 'types': ['street_number']}, {'long_name': 'Trafalgar Street', 'short_name': 'Trafalgar St', 'types': ['route']}, {'long_name': 'Johnsonville', 'short_name': 'Johnsonville', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Wellington', 'short_name': 'Wellington', 'types': ['locality', 'political']}, {'long_name': 'Wellington', 'short_name': 'Wellington', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '6037', 'short_name': '6037', 'types': ['postal_code']}], 'formatted_address': '2 Trafalgar Street, Johnsonville, Wellington 6037, New Zealand', 'geometry': {'location': {'lat': -41.2217934, 'lng': 174.8062362}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -41.22044441970849, 'lng': 174.8075851802915}, 'southwest': {'lat': -41.22314238029149, 'lng': 174.8048872197085}}}, 'place_id': 'ChIJ1ePToLetOG0RCFx4TGnbFPo', 'plus_code': {'compound_code': 'QRH4+7F Wellington, New Zealand', 'global_code': '4VCPQRH4+7F'}, 'types': ['street_address']}]",-41.2217934,174.8062362
2,1841 Bar and Restaurant Johnsonville,"1 Disraeli Street, Johnsonville, Wellington 6037",Tuesday 17 August,7.00 pm - 9.00 pm,"Staff: Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.  Johnsonville Mall customers: Self-monitor for COVID-19 symptoms for 14 days. If symptoms develop, get a test and stay at home until you get a negative test result AND until 24 hours after symptoms resolve.  ""Staff - Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.  Downstairs customers - Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.  Upstairs customers - Self-monitor for COVID-19 symptoms for 14 days. If symptoms develop, get a test and stay at home until you get a negative test result AND until 24 hours after symptoms resolve.""",20-Aug,"[{'address_components': [{'long_name': '1', 'short_name': '1', 'types': ['street_number']}, {'long_name': 'Disraeli Street', 'short_name': 'Disraeli St', 'types': ['route']}, {'long_name': 'Johnsonville', 'short_name': 'Johnsonville', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Wellington', 'short_name': 'Wellington', 'types': ['locality', 'political']}, {'long_name': 'Wellington', 'short_name': 'Wellington', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '6037', 'short_name': '6037', 'types': ['postal_code']}], 'formatted_address': '1 Disraeli Street, Johnsonville, Wellington 6037, New Zealand', 'geometry': {'location': {'lat': -41.2251942, 'lng': 174.8075007}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -41.2238452197085, 'lng': 174.8088496802915}, 'southwest': {'lat': -41.2265431802915, 'lng': 174.8061517197085}}}, 'place_id': 'ChIJr6KqzsmtOG0RaErge0NVdvA', 'plus_code': {'compound_code': 'QRF5+W2 Wellington, New Zealand', 'global_code': '4VCPQRF5+W2'}, 'types': ['street_address']}]",-41.2251942,174.8075007
3,One Sushi Porirua,"10 Serlby Place, Porirua City Centre, Porirua 5022",Tuesday 17 August,6.15 pm - 6.30 pm,"Staff- Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next. Customers - Self-monitor for COVID-19 symptoms for 14 days. If symptoms develop, get a test and stay at home until you get a negative test result AND until 24 hours after symptoms resolve.",20-Aug,"[{'address_components': [{'long_name': '10', 'short_name': '10', 'types': ['street_number']}, {'long_name': 'Serlby Place', 'short_name': 'Serlby Pl', 'types': ['route']}, {'long_name': 'Porirua City Centre', 'short_name': 'Porirua City Centre', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Porirua', 'short_name': 'Porirua', 'types': ['locality', 'political']}, {'long_name': 'Wellington', 'short_name': 'Wellington', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '5022', 'short_name': '5022', 'types': ['postal_code']}], 'formatted_address': '10 Serlby Place, Porirua City Centre, Porirua 5022, New Zealand', 'geometry': {'location': {'lat': -41.1348034, 'lng': 174.8407335}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -41.13345441970849, 'lng': 174.8420824802915}, 'southwest': {'lat': -41.13615238029149, 'lng': 174.8393845197085}}}, 'place_id': 'ChIJ4e82G3JTP20RIHfRpGTxxhA', 'plus_code': {'compound_code': 'VR8R+37 Porirua, Wellington, New Zealand', 'global_code': '4VCPVR8R+37'}, 'types': ['street_address']}]",-41.1348034,174.8407335
4,The Roast Canteen Johnsonville,"5 Johnsonville Road, Johnsonville, Wellington 6037",Tuesday 17 August,5.30 pm - 5.45 pm,"Staff - Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next. Customers -Self-monitor for COVID-19 symptoms for 14 days. If symptoms develop, get a test and stay at home until you get a negative test result AND until 24 hours after symptoms resolve.",20-Aug,"[{'address_components': [{'long_name': '5', 'short_name': '5', 'types': ['street_number']}, {'long_name': 'Johnsonville Road', 'short_name': 'Johnsonville Rd', 'types': ['route']}, {'long_name': 'Johnsonville', 'short_name': 'Johnsonville', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Wellington', 'short_name': 'Wellington', 'types': ['locality', 'political']}, {'long_name': 'Wellington', 'short_name': 'Wellington', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '6037', 'short_name': '6037', 'types': ['postal_code']}], 'formatted_address': '5 Johnsonville Road, Johnsonville, Wellington 6037, New Zealand', 'geometry': {'location': {'lat': -41.2221536, 'lng': 174.8075548}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -41.2208046197085, 'lng': 174.8089037802915}, 'southwest': {'lat': -41.2235025802915, 'lng': 174.8062058197085}}}, 'place_id': 'ChIJ6fPbU7atOG0RTE4HmoqGMg0', 'plus_code': {'compound_code': 'QRH5+42 Wellington, New Zealand', 'global_code': '4VCPQRH5+42'}, 'types': ['street_address']}]",-41.2221536,174.8075548
5,St Pierre's Sushi Johnsonville Mall,"66 Johnsonville Road, Johnsonville, Wellington 6037",Tuesday 17 August,5.15 pm - 5.30 pm,"Staff: Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.  Johnsonville Mall customers: Self-monitor for COVID-19 symptoms for 14 days. If symptoms develop, get a test and stay at home until you get a negative test result AND until 24 hours after symptoms resolve.",20-Aug,"[{'address_components': [{'long_name': '66', 'short_name': '66', 'types': ['street_number']}, {'long_name': 'Johnsonville Road', 'short_name': 'Johnsonville Rd', 'types': ['route']}, {'long_name': 'Johnsonville', 'short_name': 'Johnsonville', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Wellington', 'short_name': 'Wellington', 'types': ['locality', 'political']}, {'long_name': 'Wellington', 'short_name': 'Wellington', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '6037', 'short_name': '6037', 'types': ['postal_code']}], 'formatted_address': '66 Johnsonville Road, Johnsonville, Wellington 6037, New Zealand', 'geometry': {'location': {'lat': -41.2238182, 'lng': 174.8070874}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -41.2224692197085, 'lng': 174.8084363802915}, 'southwest': {'lat': -41.22516718029149, 'lng': 174.8057384197085}}}, 'place_id': 'ChIJ_QbI07etOG0RG0Dj54Qw27I', 'plus_code': {'compound_code': 'QRG4+FR Wellington, New Zealand', 'global_code': '4VCPQRG4+FR'}, 'types': ['street_address']}]",-41.2238182,174.8070874
0,New World Green Bay,"64 Godley Road, Green Bay, Auckland 0604",Tuesday 17 August,7.00 pm - 8.00 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '64', 'short_name': '64', 'types': ['street_number']}, {'long_name': 'Godley Road', 'short_name': 'Godley Rd', 'types': ['route']}, {'long_name': 'Green Bay', 'short_name': 'Green Bay', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0604', 'short_name': '0604', 'types': ['postal_code']}], 'formatted_address': '64 Godley Road, Green Bay, Auckland 0604, New Zealand', 'geometry': {'location': {'lat': -36.9307521, 'lng': 174.6791938}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.9294031197085, 'lng': 174.6805427802915}, 'southwest': {'lat': -36.9321010802915, 'lng': 174.6778448197085}}}, 'place_id': 'ChIJR5dpS-VDDW0RLg0vYGaR8W0', 'plus_code': {'compound_code': '3M9H+MM Auckland, New Zealand', 'global_code': '4VMP3M9H+MM'}, 'types': ['street_address']}]",-36.9307521,174.6791938
1,Domino's Birkenhead,"Unit A/174 Mokoia Rd, Birkenhead, Auckland, 0626",Tuesday 17 August,5.30 pm - 5.40 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': 'a', 'short_name': 'a', 'types': ['subpremise']}, {'long_name': '174', 'short_name': '174', 'types': ['street_number']}, {'long_name': 'Mokoia Road', 'short_name': 'Mokoia Rd', 'types': ['route']}, {'long_name': 'Chatswood', 'short_name': 'Chatswood', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0626', 'short_name': '0626', 'types': ['postal_code']}], 'formatted_address': 'a/174 Mokoia Road, Chatswood, Auckland 0626, New Zealand', 'geometry': {'location': {'lat': -36.8109413, 'lng': 174.7131255}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.80959231970851, 'lng': 174.7144744802915}, 'southwest': {'lat': -36.81229028029151, 'lng': 174.7117765197085}}}, 'place_id': 'EjhhLzE3NCBNb2tvaWEgUm9hZCwgQ2hhdHN3b29kLCBBdWNrbGFuZCAwNjI2LCBOZXcgWmVhbGFuZCIdGhsKFgoUChIJQQecNuo4DW0R7FyxWTxTrPYSAWE', 'types': ['subpremise']}]",-36.8109413,174.7131255
2,Public Bus 326 Mangere-Otahuhu,Auckland,Tuesday 17 August,4.30 pm - 6.00 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}], 'formatted_address': 'Auckland, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.66060179999999, 'lng': 174.9684261}, 'southwest': {'lat': -37.0590199, 'lng': 174.443816}}, 'location': {'lat': -36.85088270000001, 'lng': 174.7644881}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': -36.66060179999999, 'lng': 174.9684261}, 'southwest': {'lat': -37.0590199, 'lng': 174.443816}}}, 'place_id': 'ChIJ--acWvtHDW0RF5miQ2HvAAU', 'types': ['locality', 'political']}]",-36.85088270000001,174.7644881
3,"The Local Doctors GP Practice, Ōtara","3 Watford Street, Ōtara, Auckland 2023",Tuesday 17 August,4.21 pm - 8.30pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': '3', 'short_name': '3', 'types': ['street_number']}, {'long_name': 'Watford Street', 'short_name': 'Watford St', 'types': ['route']}, {'long_name': 'Ōtara', 'short_name': 'Ōtara', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '2023', 'short_name': '2023', 'types': ['postal_code']}], 'formatted_address': '3 Watford Street, Ōtara, Auckland 2023, New Zealand', 'geometry': {'location': {'lat': -36.9621108, 'lng': 174.8729104}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.96076181970849, 'lng': 174.8742593802915}, 'southwest': {'lat': -36.96345978029149, 'lng': 174.8715614197085}}}, 'place_id': 'ChIJI3UeVzdMDW0RReiAVvmtvjQ', 'plus_code': {'compound_code': '2VQF+55 Auckland, New Zealand', 'global_code': '4VMP2VQF+55'}, 'types': ['street_address']}]",-36.9621108,174.8729104
